ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt1263658,Baladoor,2008.0,,4.0,214.0,"Action, Comedy            ",telugu
tt12871140, Churails,,,8.4,50.0,"Drama, Mystery, Thriller            ",oriya
tt3477498,Masala Republic,2014.0,135.0,5.2,103.0,"Comedy, Thriller            ",malayalam
tt1611834,Do Dilon Ke Khel Mein,2010.0,,5.5,35.0,"Comedy, Drama, Romance            ",hindi
tt5351604,Ramer Sumoti,1985.0,115.0,6.8,9.0,"Adventure, Drama            ",bengali
tt0471646,Darwaza Bandh Rakho,2006.0,106.0,5.3,336.0,"Comedy, Crime, Drama            ",hindi
tt5615670,Mazhai pozhuthin mayakathile,2012.0,111.0,7.9,61.0,Drama            ,tamil
tt0255112,Dhaai Akshar Prem Ke,2000.0,167.0,3.7,1293.0,"Drama, Romance            ",hindi
tt7897230,Aalukkoru Aasai,2003.0,,2.9,10.0,Comedy            ,tamil
tt3387442, Coke Studio,,60.0,4.6,8.0,Music            ,urdu
tt3004774,Tigers,2014.0,94.0,7.3,1503.0,Drama            ,hindi
tt2088847,Oh My Friend,2011.0,130.0,6.6,1090.0,Romance            ,telugu
tt10682506,Margamkali,2019.0,142.0,4.7,144.0,"Comedy, Romance            ",malayalam
tt13322956,Dum Laga Ke Haisha,2016.0,109.0,7.5,17.0,Drama            ,hindi
tt0407485,19 Revolutions,2004.0,94.0,4.7,15.0,Drama            ,telugu
tt0267941,Spandan,1982.0,135.0,6.1,9.0,Drama            ,hindi
tt3368378,Ek Cup Chya,2009.0,120.0,7.4,109.0,Drama            ,marathi
tt0316587,Shaheed Kartar Singh Sarabha,1977.0,,9.6,7.0,Biography            ,punjabi
tt2603462,Maanav Hatya,1986.0,,4.7,17.0,Romance            ,hindi
tt2548094,Thanha Rathi Ranga,2014.0,95.0,8.4,586.0,Drama            ,tamil
tt5293388,Panaah,2015.0,15.0,7.6,11.0,"Short, Crime, Drama            ",oriya
tt0425287,Naunihal,1967.0,,6.3,12.0,"Crime, Drama, Family            ",hindi
tt7026934,Mohabbat.pk,,40.0,8.7,6.0,Comedy            ,oriya
tt0215789,Gawaahi,1989.0,111.0,5.6,34.0,Mystery            ,hindi
tt2580046,Miraculous: Tales of Ladybug & Cat Noir,,20.0,7.7,7035.0,"Animation, Action, Adventure            ",oriya
